State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
North Carolina,149.4,144.3,146.0,147.3,150.6,154.9,149.3,155.2,149.8,133.6,147.6,133.1,125.0,126.6,129.8,125.4,125.5,121.6,124.8,-16.5,-24.6
North Dakota,51.2,52.1,51.8,51.5,50.0,52.9,51.2,53.0,53.4,51.9,52.6,54.0,56.4,57.0,59.1,57.7,54.8,56.8,59.1,15.3,7.9
Ohio,265.4,254.6,261.0,269.1,264.2,272.3,264.9,268.7,261.2,236.3,245.5,233.6,213.4,227.5,230.0,211.3,205.4,205.1,209.2,-21.2,-56.2
Oklahoma,99.8,101.2,101.5,103.8,99.7,106.7,109.9,109.2,111.9,106.2,105.0,106.2,104.0,102.5,104.0,99.7,95.8,93.0,97.7,-2.1,-2.1
Oregon,41.0,40.7,39.2,39.7,40.8,41.1,40.3,43.8,42.8,40.9,40.8,37.2,36.9,39.3,38.1,38.2,38.0,39.1,39.9,-2.6,-1.1
Pennsylvania,276.4,263.3,270.1,274.0,276.7,280.0,274.2,277.0,268.7,243.7,256.0,250.3,239.4,249.7,249.6,233.0,218.2,215.4,220.5,-20.2,-55.9
Rhode Island,11.7,12.3,11.7,11.5,10.9,11.2,10.5,11.1,10.7,11.2,11.0,11.0,10.5,10.1,10.6,10.9,9.7,10.0,11.1,-5.3,-0.6
South Carolina,81.0,78.6,80.3,80.9,87.8,86.5,86.7,87.2,84.9,79.5,83.8,79.9,73.1,69.9,74.2,72.5,71.7,69.3,73.4,-9.3,-7.6
South Dakota,14.2,13.5,13.8,13.8,13.8,13.3,13.4,13.9,15.0,14.8,15.0,14.6,14.8,15.4,15.3,14.1,14.8,14.7,15.6,9.8,1.4
Tennessee,127.4,125.2,124.6,122.9,124.4,125.8,127.8,127.5,120.9,102.4,110.5,106.7,100.3,99.1,104.5,100.8,103.5,98.2,94.7,-25.7,-32.7
Texas,676.2,671.0,683.2,678.4,677.8,651.1,649.8,649.5,620.7,583.3,612.9,631.3,617.3,647.2,653.4,648.0,651.5,661.9,684.0,1.2,7.8
Utah,65.2,63.0,62.3,63.2,65.6,67.2,68.4,70.4,69.5,64.7,63.7,64.1,61.4,66.4,65.1,63.5,58.7,58.8,61.1,-6.2,-4.1
Vermont,6.7,6.6,6.4,6.6,7.0,6.8,6.7,6.5,5.9,6.2,5.9,5.8,5.4,5.7,5.9,6.1,5.9,5.8,5.9,-13.2,-0.9
Virginia,123.2,120.9,119.5,123.7,127.5,129.3,122.8,128.0,116.8,105.7,111.2,102.4,98.6,105.8,106.5,106.5,107.6,103.3,107.8,-12.5,-15.4
Washington,78.1,77.9,71.6,73.6,74.9,75.9,73.4,78.9,75.5,73.4,70.8,67.1,65.5,72.2,70.5,72.3,77.6,77.6,77.0,-1.4,-1.1
West Virginia,115.0,104.2,117.4,114.1,110.9,113.1,113.1,115.3,111.2,90.1,101.2,98.6,92.8,95.1,100.8,92.8,95.4,91.7,90.0,-21.7,-24.9
Wisconsin,108.1,105.9,107.2,105.3,107.7,111.0,103.0,104.8,105.2,96.2,98.9,98.1,90.8,101.5,101.6,100.4,96.3,99.4,102.0,-5.7,-6.1
Wyoming,63.3,63.6,62.4,64.3,64.2,63.5,64.3,66.7,67.2,63.9,65.5,64.3,66.6,68.8,65.7,63.8,61.1,62.6,63.6,0.5,0.3
Total of states (unadjusted)?,"5,844.0","5,732.9","5,777.2","5,834.4","5,936.7","5,968.5","5,877.3","5,971.7","5,781.3","5,368.1","5,571.8","5,439.4","5,211.0","5,353.4","5,413.7","5,263.0","5,178.8","5,146.4","5,297.4",-9.4,-546.6
Adjustment to match United States,22.5,31.8,32.0,25.5,42.2,30.6,36.4,31.4,35.3,23.9,12.8,6.5,18.0,2.6,-0.4,-0.1,-8.3,-15.8,-16.4,,
United States,"5,866.6","5,764.7","5,809.2","5,859.9","5,978.8","5,999.2","5,913.7","6,003.1","5,816.6","5,392.0","5,584.6","5,445.9","5,229.0","5,356.0","5,413.2","5,262.8","5,170.5","5,130.6","5,281.0",-0.1,-828.6
